base_year,adm_dr_cd,adm_dr_nm,sigungu_nm,sido_nm,sido_nm_1,sigungu__1,sido_nm_12,sigungu__3,Included,Predicted,StdError
2018,1106081,용신동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00495740607,0.00451905723
2018,1106083,전농1동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00618396539,0.00308262292
2018,1106084,전농2동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.0061984222,0.00330536527
2018,1106086,답십리2동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00603734783,0.00416084077
2018,1106087,장안1동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.0063454196,0.00446069467
2018,1106088,장안2동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00592619429,0.00437830611
2018,1106089,이문1동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00423934775,0.00447454561
2018,1106090,이문2동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00353180086,0.00465000857
2018,1106091,답십리1동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00565963365,0.00401720117
2018,1107052,면목2동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00437471732,0.00424286711
2018,1107054,면목4동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00578346869,0.00466977029
2018,1107055,면목5동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00506086727,0.00441218515
2018,1107057,면목7동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00510985083,0.00467666087
2018,1107059,상봉1동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00259400928,0.00326274336
2018,1107060,상봉2동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00344862819,0.00375299376
2018,1107061,중화1동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00290723848,0.00398685204
2018,1107062,중화2동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00355174049,0.00434460009
2018,1107064,묵1동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00259121146,0.00472494145
2018,1107065,묵2동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00285284879,0.00476468646
2018,1107068,망우3동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00322355914,0.00398308691
2018,1107069,신내1동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00238731391,0.00464278562
2018,1107070,신내2동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00246781614,0.00442964484
2018,1107071,면목본동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00387784237,0.00402118683
2018,1107072,면목3·8동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00406353925,0.00439770783
2018,1107073,망우본동,11070,11,서울특별시,중랑구,서울,중랑구,Yes,0.00265689149,0.00410275332
2018,1108058,돈암1동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.0033672699,0.00380784622
2018,1108059,돈암2동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00580469014,0.00398809028
2018,1108061,보문동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00563209387,0.00464062462
2018,1108062,정릉1동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00289880715,0.0025611112
2018,1108063,정릉2동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00556294636,0.00368671145
2018,1108064,정릉3동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00852953618,0.00453546966
2018,1108065,정릉4동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00585774646,0.00474606856
2018,1108066,길음1동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00218604006,0.0027887102
2018,1108068,길음2동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.0024238726,0.00384796884
2018,1108071,월곡1동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.0028257891,0.00449830585
2018,1108072,월곡2동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00348770819,0.00466082005
2018,1108076,장위1동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00266101849,0.00487632711
2018,1108077,장위2동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00291173208,0.0049287139
2018,1108078,장위3동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00264778232,0.00501008722
2018,1108081,성북동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.012242515,0.00418387944
2018,1108082,삼선동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00670156416,0.00456287091
2018,1108083,동선동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00498962533,0.00421351783
2018,1108085,석관동,11080,11,서울특별시,성북구,서울,성북구,Yes,0.00321272175,0.00486471897
2018,1109060,번1동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00204630092,0.00455439698
2018,1109061,번2동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00221466127,0.004791168
2018,1109062,번3동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.0023647034,0.00492282035
2018,1109063,수유1동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00317094146,0.00431347581
2018,1109064,수유2동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00168919959,0.0036065047
2018,1109065,수유3동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00189195669,0.00407557668
2018,1109069,삼양동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00313261198,0.00442685158
2018,1109070,미아동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00234119279,0.00459183181
2018,1109071,송중동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00240716177,0.00461916061
2018,1109072,송천동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00249636438,0.00437102356
2018,1109073,삼각산동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00310105226,0.00415814286
2018,1109074,우이동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.0022390953,0.0047825373
2018,1109075,인수동,11090,11,서울특별시,강북구,서울,강북구,Yes,0.00288731909,0.00393413525
2018,1110051,쌍문1동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00181580487,0.00402906781
2018,1110052,쌍문2동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00208413148,0.00419533935
2018,1110053,쌍문3동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00191151446,0.00437957241
2018,1110054,쌍문4동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00198422106,0.00418390761
2018,1110055,방학1동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00222103471,0.00399625274
2018,1110056,방학2동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.0022757236,0.00106282133
2018,1110057,방학3동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00206395796,0.00387508983
2018,1110059,창1동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00211076827,0.00465762868
2018,1110060,창2동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00203281117,0.00465450401
2018,1110061,창3동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00212658696,0.00482855595
2018,1110062,창4동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00220690114,0.00450929705
2018,1110063,창5동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00213269549,0.00440815874
2018,1110064,도봉1동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00221895696,0.00481432317
2018,1110065,도봉2동,11100,11,서울특별시,도봉구,서울,도봉구,Yes,0.00230293687,0.00476650462
2018,1111051,월계1동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00255320523,0.00503857154
2018,1111052,월계2동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00225345368,0.00492701559
2018,1111053,월계3동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00248774455,0.00502089458
2018,1111056,공릉2동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00222413861,0.00502397654
2018,1111058,하계1동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00232997215,0.0045124424
2018,1111059,하계2동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00232870945,0.00479006825
2018,1111060,중계본동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00223958285,0.00411897051
2018,1111061,중계1동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.0023946298,0.00262660724
2018,1111064,중계4동,11110,11,서울특별시,노원구,서울,노원구,Yes,0.00226679039,0.00406619362
